Sl. No.,States/UTs,2017,2018,Reduction(+)/Increase (-),% Share in Total Reduction
1,Andhra Pradesh,8060,7556,504,-14.4
2,Arunachal Pradesh,110,175,-65,1.9
3,Assam,2783,2966,-183,5.2
4,Bihar,5554,6729,-1175,33.5
5,Chhattisgarh,4136,4592,-456,13
6,Goa,328,262,66,-1.9
7,Gujarat,7289,7996,-707,20.2
8,Haryana,5120,5118,2,-0.1
9,Himachal Pradesh,1203,1208,-5,0.1
10,Jammu & Kashmir,926,984,-58,1.7
11,Jharkhand,3256,3542,-286,8.2
12,Karnataka,10609,10990,-381,10.9
13,Kerala,4131,4303,-172,4.9
14,Madhya Pradesh,10177,10706,-529,15.1
15,Maharashtra,12264,13261,-997,28.5
16,Manipur,136,134,2,-0.1
17,Meghalaya,182,182,0,0
18,Mizoram,60,45,15,-0.4
19,Nagaland,41,39,2,-0.1
20,Odisha,4790,5315,-525,15
21,Punjab,4463,4740,-277,7.9
22,Rajasthan,10444,10320,124,-3.5
23,Sikkim,78,85,-7,0.2
24,Tamil Nadu,16157,12216,3941,-112.5
25,Telangana,6596,6603,-7,0.2
26,Tripura,161,213,-52,1.5
27,Uttarakhand,942,1047,-105,3
28,Uttar Pradesh,20124,22256,-2132,60.8
29,West Bengal,5769,5711,58,-1.7
30,Andaman & Nicobar Islands,21,19,2,-0.1
31,Chandigarh,107,98,9,-0.3
32,Dadra & Nagar Haveli,43,54,-11,0.3
33,Daman & Diu,36,35,1,0
34,Delhi,1584,1690,-106,3
35,Lakshadweep,0,1,-1,0
36,Puducherry,233,226,7,-0.2
Total,Total,147913,151417,-3504,100
